GameState,PossibleArrows,WinProb,TieProb
95583429857280,2;4;10;15;52;55;,1,0
95584503599104,2;7;10;11;51;55;,1,0
95572692443136,4;7;11;15;59;60;,1,0
95574839926784,1;7;12;15;57;60;,1,0
95579134894080,1;4;11;12;57;59;,1,0
95581282377728,4;7;11;12;51;55;,1,0
95583429861376,1;4;12;15;49;55;,1,0
95584503603200,1;7;11;15;49;51;,1,0
95572692447232,2;7;12;15;58;60;,0.5,0.5
95575913672704,1;7;10;15;57;58;,0.5,0.5
95579134898176,1;2;10;12;57;60;,1,0
95581282381824,2;7;10;12;52;55;,0.5,0.5
95582356123648,1;7;12;15;49;52;,0.5,0.5
95584503607296,1;2;10;15;49;55;,1,0
95572692463616,2;4;11;12;58;59;,1,0
95574839947264,1;4;10;12;57;58;,1,0
95575913689088,1;2;10;11;57;59;,1,0
95581282398208,2;4;10;11;51;52;,1,0
95582356140032,1;4;11;12;49;51;,1,0
95583429881856,1;2;10;12;49;52;,1,0
95582356180992,4;7;11;12;35;39;,1,0
95583429922816,2;4;12;15;34;39;,1,0
95584503664640,2;7;11;15;34;35;,1,0
95581282447360,4;7;10;12;34;39;,1,0
95582356189184,1;4;12;15;33;39;,1,0
95584503672832,1;7;10;15;33;34;,1,0
95581282451456,2;7;10;11;35;39;,1,0
95582356193280,1;7;11;15;33;35;,1,0
95583429935104,1;2;10;15;33;39;,1,0
95581282463744,2;4;11;12;34;35;,1,0
95583429947392,1;4;10;12;33;34;,1,0
95584503689216,1;2;10;11;33;35;,1,0
95574840020992,4;7;10;12;34;39;,1,0
95575913762816,2;7;10;11;35;39;,1,0
95579134988288,2;4;11;12;34;35;,1,0
95572692541440,4;7;11;12;35;39;,1,0
95574840025088,1;4;12;15;33;39;,1,0
95575913766912,1;7;11;15;33;35;,1,0
95572692545536,2;4;12;15;34;39;,1,0
95575913771008,1;2;10;15;33;39;,1,0
95579134996480,1;4;10;12;33;34;,1,0
95572692549632,2;7;11;15;34;35;,1,0
95574840033280,1;7;10;15;33;34;,1,0
95579135000576,1;2;10;11;33;35;,1,0
95520078954496,1;2;4;7;10;11;12;15;33;34;35;39;49;51;52;55;57;58;59;60;,1,0
95642485657600,4;6;11;14;59;60;,1,0
95643559399424,2;4;10;14;60;62;,1,0
95644633141248,2;6;10;11;59;62;,1,0
95652149334016,4;6;10;14;50;52;,1,0
95653223075840,2;6;11;14;50;51;,1,0
95655370559488,2;4;10;11;51;52;,1,0
95641411919872,4;6;11;12;59;62;,0.5,0.5
95643559403520,1;4;12;14;57;62;,1,0
95644633145344,1;6;11;14;57;59;,0.5,0.5
95650001854464,4;6;11;14;51;52;,0,1
95652149338112,1;6;12;14;49;52;,0.5,0.5
95655370563584,1;4;11;12;49;51;,1,0
95641411923968,2;6;10;12;60;62;,0.5,0.5
95642485665792,1;6;12;14;57;60;,0.5,0.5
95644633149440,1;2;10;14;57;62;,0.5,0.5
95650001858560,2;6;12;14;50;52;,0,1
95653223084032,1;6;10;14;49;50;,0.5,0.5
95655370567680,1;2;10;12;49;52;,1,0
95641411936256,2;4;10;11;59;60;,1,0
95642485678080,1;4;11;12;57;59;,1,0
95643559419904,1;2;10;12;57;60;,1,0
95650001870848,2;4;11;12;50;51;,0.5,0.5
95652149354496,1;4;10;12;49;50;,1,0
95653223096320,1;2;10;11;49;51;,1,0
95652149399552,4;6;10;12;34;38;,1,0
95653223141376,2;6;10;11;35;38;,1,0
95655370625024,2;4;11;12;34;35;,1,0
95650001920000,4;6;11;12;35;38;,1,0
95652149403648,1;4;12;14;33;38;,1,0
95653223145472,1;6;11;14;33;35;,1,0
95650001924096,2;4;12;14;34;38;,1,0
95653223149568,1;2;10;14;33;38;,1,0
95655370633216,1;4;10;12;33;34;,1,0
95650001928192,2;6;11;14;34;35;,0,1
95652149411840,1;6;10;14;33;34;,0.5,0.5
95655370637312,1;2;10;11;33;35;,1,0
95642485755904,4;6;11;12;35;38;,1,0
95643559497728,2;4;12;14;34;38;,1,0
95644633239552,2;6;11;14;34;35;,1,0
95641412022272,4;6;10;12;34;38;,1,0
95642485764096,1;4;12;14;33;38;,1,0
95644633247744,1;6;10;14;33;34;,1,0
95641412026368,2;6;10;11;35;38;,1,0
95642485768192,1;6;11;14;33;35;,1,0
95643559510016,1;2;10;14;33;38;,1,0
95641412034560,2;4;11;12;34;35;,0,1
95643559518208,1;4;10;12;33;34;,0.5,0.5
95644633260032,1;2;10;11;33;35;,0,1
95588798431232,1;2;4;6;10;11;12;14;33;34;35;38;49;50;51;52;57;59;60;62;,1,0
95789588291584,4;6;12;15;46;47;,0.5,0.5
95790662033408,6;7;11;15;43;46;,0.5,0.5
95792809517056,4;7;11;12;43;47;,0,1
95788514553856,6;7;12;15;44;46;,0,1
95790662037504,2;6;10;15;46;47;,0,1
95792809521152,2;7;10;12;44;47;,0,1
95788514566144,4;7;11;15;43;44;,0,1
95789588307968,2;4;10;15;44;47;,0.5,0.5
95790662049792,2;7;10;11;43;47;,0.5,0.5
95788514570240,4;6;11;12;43;46;,0.5,0.5
95789588312064,2;6;10;12;44;46;,0.5,0.5
95792809537536,2;4;10;11;43;44;,0.5,0.5
95788514586624,4;6;12;15;38;39;,0,1
95790662070272,6;7;10;15;34;38;,0.5,0.5
95792809553920,4;7;10;12;34;39;,0.5,0.5
95788514590720,6;7;11;15;35;38;,0,1
95789588332544,2;6;10;15;38;39;,0,1
95792809558016,2;7;10;11;35;39;,0,1
95788514598912,4;7;11;12;35;39;,0,1
95789588340736,2;4;12;15;34;39;,0,1
95790662082560,2;7;11;15;34;35;,0,1
95789588344832,4;6;10;12;34;38;,0.5,0.5
95790662086656,2;6;10;11;35;38;,0,1
95792809570304,2;4;11;12;34;35;,0,1
95726237384704,2;4;6;7;10;11;12;15;34;35;38;39;43;44;46;47;58;59;60;62;,0.791667,0.208333
95858307764224,4;6;14;15;44;47;,0.5,0.5
95859381506048,6;7;11;14;43;47;,1,0
95861528989696,4;7;11;15;43;44;,0.5,0.5
95856160288768,6;7;12;14;44;47;,0,1
95859381514240,1;6;14;15;41;47;,0,1
95861528997888,1;7;12;15;41;44;,0,1
95856160301056,4;7;11;12;43;47;,0,1
95858307784704,1;4;12;15;41;47;,0.5,0.5
